ItemId,InvoiceId,ProductId,Description,Price
1,100001,7929,leverage back-end e-business,3315.33
2,100002,3173,benchmark B2B portals,1257.33
3,100003,8382,utilize real-time functionalities,4861.85
4,100004,1601,deploy ubiquitous markets,2038.13
5,100005,1199,cultivate seamless technologies,1069.64
6,100006,4613,whiteboard open-source initiatives,3118.84
7,100007,4579,target dynamic methodologies,2139.44
8,100008,3595,expedite user-centric models,1195.38
9,100009,5463,unleash mission-critical e-markets,4663.52
10,100010,9651,leverage best-of-breed e-tailers,3573.07
11,100011,2211,synergize integrated action-items,522.52
12,100012,0123,harness 24/7 interfaces,4780.20
13,100013,1033,grow B2C eyeballs,3141.33
14,100014,4551,enhance mission-critical niches,1574.02
15,100015,3333,synthesize front-end metrics,3745.21
16,100016,4241,matrix transparent infomediaries,4163.20
17,100017,8179,grow vertical vortals,4296.38
18,100018,4994,matrix global synergies,4861.41
19,100019,4673,generate back-end eyeballs,3974.64
20,100020,7062,engage compelling partnerships,1522.56
21,100021,0479,matrix revolutionary niches,1050.35
22,100022,0695,e-enable bricks-and-clicks ROI,3012.21
23,100023,7976,streamline compelling vortals,814.00
24,100024,5474,disintermediate leading-edge interfaces,3590.43
25,100025,2631,revolutionize plug-and-play ROI,1418.53
26,100026,1441,leverage collaborative platforms,3079.29
27,100027,8684,generate e-business experiences,3630.34
28,100028,7675,morph scalable e-tailers,4531.17
29,100029,9927,target intuitive methodologies,4592.12
30,100030,8453,cultivate rich networks,4180.15
31,100031,5679,grow intuitive experiences,1075.85
32,100032,9783,streamline sticky infomediaries,2085.87
33,100033,3321,incubate compelling systems,1937.51
34,100034,8686,revolutionize turn-key applications,3341.36
35,100035,5136,monetize innovative markets,983.29
36,100036,504,unleash open-source communities,2428.45
37,100037,194,strategize e-business e-tailers,3015.66
38,100038,8173,reinvent bleeding-edge platforms,2876.51
39,100039,5182,engineer interactive ROI,2186.42
40,100040,6525,productize impactful vortals,1313.29
41,100041,1298,extend web-enabled platforms,1298.15
42,100042,9624,brand innovative deliverables,1273.79
43,100043,9611,integrate out-of-the-box supply-chains,1043.98
44,100044,9453,facilitate granular bandwidth,1207.61
45,100045,7667,mesh holistic e-business,1099.67
46,100046,6998,disintermediate leading-edge networks,2760.98
47,100047,9513,embrace strategic infomediaries,2666.90
48,100048,8792,optimize real-time architectures,3395.59
49,100049,8009,leverage efficient eyeballs,595.94
50,100050,6824,reinvent scalable e-services,2729.71
51,100051,4695,drive scalable mindshare,2281.63
52,100052,1771,integrate collaborative eyeballs,4932.45
53,100053,8391,disintermediate seamless web-readiness,699.74
54,100054,0752,revolutionize sexy e-services,3938.15
55,100055,4979,scale plug-and-play platforms,3859.44
56,100056,7986,whiteboard cross-media users,1378.82
57,100057,9702,grow customized e-services,3779.34
58,100058,8804,optimize rich paradigms,4969.00
59,100059,1742,implement real-time experiences,2835.29
60,100060,0050,orchestrate end-to-end functionalities,3880.67
61,100061,6712,implement plug-and-play metrics,782.50
62,100062,6091,architect killer synergies,3273.13
63,100063,0522,recontextualize plug-and-play systems,1546.31
64,100064,1274,optimize bricks-and-clicks supply-chains,1578.20
65,100065,8544,orchestrate transparent action-items,1925.73
66,100066,9938,embrace dot-com content,3103.44
67,100067,0302,scale 24/7 deliverables,3391.01
68,100068,067,strategize bricks-and-clicks infrastructures,1208.99
69,100069,8473,leverage interactive channels,3504.82
70,100070,5529,embrace cross-platform infomediaries,4520.24
71,100071,132,mesh B2C convergence,2152.15
72,100072,7694,seize out-of-the-box niches,4715.58
73,100073,294,generate web-enabled solutions,3242.04
74,100074,3979,morph cross-platform action-items,2553.36
75,100075,9784,syndicate back-end experiences,3610.78
76,100076,9722,transition virtual architectures,4743.93
77,100077,6952,mesh ubiquitous systems,1628.63
78,100078,8361,evolve intuitive e-services,862.63
79,100079,9223,drive scalable synergies,3704.38
80,100080,7561,iterate best-of-breed metrics,4664.72
81,100081,7878,iterate holistic markets,1762.77
82,100082,7890,seize seamless portals,1114.91
83,100083,9958,disintermediate best-of-breed communities,4744.22
84,100084,0126,benchmark distributed markets,3085.74
85,100085,0942,extend granular networks,2591.29
86,100086,3379,synthesize cutting-edge e-markets,2435.44
87,100087,8491,transition rich ROI,2174.76
88,100088,7072,whiteboard collaborative paradigms,2752.06
89,100089,7749,expedite strategic applications,1920.29
90,100090,7787,revolutionize granular relationships,590.96
91,100091,3763,recontextualize holistic ROI,2876.49
92,100092,321,expedite global infrastructures,2748.52
